interaction_id,user_id,recipe_id,viewed,liked,saved,rating,date_interaction,score_raw,score_log,score,user_idx,item_idx
5588,62,37,True,True,True,5.0,2025-02-19,33.0,3.5263605246161616,10.0,61,36
5518,61,58,True,True,True,5.0,2025-04-29,33.0,3.5263605246161616,10.0,60,57
842,10,23,True,True,True,5.0,2024-02-26,33.0,3.5263605246161616,10.0,9,22
1309,15,35,True,True,True,5.0,2025-11-12,33.0,3.5263605246161616,10.0,14,34
493,6,38,True,True,True,5.0,2024-09-21,33.0,3.5263605246161616,10.0,5,37
188,3,6,True,True,True,5.0,2024-04-08,33.0,3.5263605246161616,10.0,2,5
385,5,21,True,True,True,5.0,2024-09-10,33.0,3.5263605246161616,10.0,4,20
2376,27,10,True,True,True,5.0,2025-02-22,33.0,3.5263605246161616,10.0,26,9
283,4,10,True,True,True,5.0,2025-03-01,33.0,3.5263605246161616,10.0,3,9
7320,81,40,True,True,True,4.9,2025-11-02,32.5,3.5115454388310208,9.9529,80,39
5003,55,99,True,True,True,4.9,2025-07-25,32.5,3.5115454388310208,9.9529,54,88
2960,33,48,True,True,True,4.8,2025-02-23,32.0,3.4965075614664802,9.9052,32,47
1884,21,74,True,True,True,4.8,2025-07-03,32.0,3.4965075614664802,9.9052,20,63
3997,44,94,True,True,True,4.8,2025-03-29,32.0,3.4965075614664802,9.9052,43,83
2875,32,54,True,True,True,4.8,2025-08-15,32.0,3.4965075614664802,9.9052,31,53
7669,85,25,True,True,True,4.8,2025-09-16,32.0,3.4965075614664802,9.9052,84,24
3321,37,45,True,True,True,4.8,2025-09-01,32.0,3.4965075614664802,9.9052,36,44
4299,48,22,True,True,True,4.8,2025-08-02,32.0,3.4965075614664802,9.9052,47,21
7110,79,12,True,True,True,4.8,2025-05-21,32.0,3.4965075614664802,9.9052,78,11
7281,81,1,True,True,True,4.8,2025-12-29,32.0,3.4965075614664802,9.9052,80,0
8768,97,32,True,True,True,4.8,2025-06-29,32.0,3.4965075614664802,9.9052,96,31
5914,65,100,True,True,True,4.8,2025-06-05,32.0,3.4965075614664802,9.9052,64,89
5813,64,90,True,True,True,4.8,2025-12-12,32.0,3.4965075614664802,9.9052,63,79
5755,64,22,True,True,True,4.8,2025-06-24,32.0,3.4965075614664802,9.9052,63,21
1193,14,10,True,True,True,4.8,2025-09-01,32.0,3.4965075614664802,9.9052,13,9
1788,20,59,True,True,True,4.8,2025-07-02,32.0,3.4965075614664802,9.9052,19,58
1505,17,49,True,True,True,4.7,2025-08-31,31.5,3.481240089335692,9.8567,16,48
652,8,15,True,True,True,4.7,2025-07-14,31.5,3.481240089335692,9.8567,7,14
3968,44,55,True,True,True,4.7,2025-07-04,31.5,3.481240089335692,9.8567,43,54
7991,88,84,True,True,True,4.7,2025-12-15,31.5,3.481240089335692,9.8567,87,73
7537,83,85,True,True,True,4.7,2025-06-29,31.5,3.481240089335692,9.8567,82,74
6342,70,73,True,True,True,4.7,2025-03-26,31.5,3.481240089335692,9.8567,69,62
6109,68,12,True,True,True,4.7,2025-05-04,31.5,3.481240089335692,9.8567,67,11
6356,70,87,True,True,True,4.6,2025-02-08,31.0,3.4657359027997265,9.8074,69,76
800,9,82,True,True,True,4.6,2025-10-27,31.0,3.4657359027997265,9.8074,8,71
3507,39,49,True,True,True,4.6,2025-10-02,31.0,3.4657359027997265,9.8074,38,48
6042,67,36,True,True,True,4.6,2025-04-07,31.0,3.4657359027997265,9.8074,66,35
5739,64,6,True,True,True,4.6,2025-03-19,31.0,3.4657359027997265,9.8074,63,5
1027,12,26,True,True,True,4.6,2025-05-27,31.0,3.4657359027997265,9.8074,11,25
7681,85,37,True,True,True,4.6,2025-04-02,31.0,3.4657359027997265,9.8074,84,36
2008,23,6,True,True,True,4.6,2025-12-15,31.0,3.4657359027997265,9.8074,22,5
297,4,24,True,True,True,4.5,2024-05-25,30.5,3.449987545831587,9.7574,3,23
382,5,18,True,True,True,4.5,2024-09-13,30.5,3.449987545831587,9.7574,4,17
2449,27,93,True,True,True,4.5,2025-08-20,30.5,3.449987545831587,9.7574,26,82
366,5,2,True,True,True,4.5,2024-07-03,30.5,3.449987545831587,9.7574,4,1
641,8,4,True,True,True,4.5,2024-07-28,30.5,3.449987545831587,9.7574,7,3
128,2,37,True,True,True,4.5,2024-04-21,30.5,3.449987545831587,9.7574,1,36
552,7,6,True,True,True,4.5,2024-01-17,30.5,3.449987545831587,9.7574,6,5
3932,44,19,True,True,True,4.5,2025-09-28,30.5,3.449987545831587,9.7574,43,18
4883,54,70,True,True,True,4.5,2025-04-27,30.5,3.449987545831587,9.7574,53,59
31,1,31,True,True,True,4.5,2024-03-16,30.5,3.449987545831587,9.7574,0,30
6305,70,26,True,True,True,4.5,2025-05-15,30.5,3.449987545831587,9.7574,69,25
2955,33,43,True,False,True,5.0,2025-10-02,30.0,3.4339872044851463,9.7066,32,42
480,6,25,True,False,True,5.0,2024-04-03,30.0,3.4339872044851463,9.7066,5,24
6001,66,96,True,True,True,4.4,2025-07-25,30.0,3.4339872044851463,9.7066,65,85
94,2,3,True,False,True,5.0,2024-06-28,30.0,3.4339872044851463,9.7066,1,2
5947,66,32,True,True,True,4.4,2025-02-12,30.0,3.4339872044851463,9.7066,65,31
4019,45,15,True,True,True,4.4,2025-05-13,30.0,3.4339872044851463,9.7066,44,14
2215,25,31,True,True,True,4.4,2025-10-14,30.0,3.4339872044851463,9.7066,24,30
8824,97,98,True,True,True,4.4,2025-01-13,30.0,3.4339872044851463,9.7066,96,87
7398,82,27,True,True,True,4.4,2025-07-16,30.0,3.4339872044851463,9.7066,81,26
3783,42,52,True,True,True,4.4,2025-02-22,30.0,3.4339872044851463,9.7066,41,51
